========Trial 0 params: {'n_layers': 2, 'K': 3, 'Dropout': 0.3, 'Hidden0': 32, 'Hidden1': 256, 'optimizer': 'Adam', 'lr': 0.014841171742650953, 'batch': 32}===========
+------------------------+------------+
|        Modules         | Parameters |
+------------------------+------------+
|     sptH.0.sAtt.Vs     |    729     |
|     sptH.0.sAtt.bs     |    729     |
|     sptH.0.sAtt.W1     |     24     |
|     sptH.0.sAtt.W2     |     24     |
|     sptH.0.sAtt.W3     |     1      |
|   sptH.0.gcn.weight    |    2304    |
|    sptH.0.gcn.bias     |     32     |
| sptH.0.timeConv.weight |     3      |
|  sptH.0.timeConv.bias  |     1      |
|     sptH.2.sAtt.Vs     |    729     |
|     sptH.2.sAtt.bs     |    729     |
|     sptH.2.sAtt.W1     |     32     |
|     sptH.2.sAtt.W2     |     32     |
|     sptH.2.sAtt.W3     |     1      |
|   sptH.2.gcn.weight    |   24576    |
|    sptH.2.gcn.bias     |    256     |
| sptH.2.timeConv.weight |     3      |
|  sptH.2.timeConv.bias  |     1      |
|     sptH.4.weight      |    3072    |
|      sptH.4.bias       |     12     |
|     sptD.0.sAtt.Vs     |    729     |
|     sptD.0.sAtt.bs     |    729     |
|     sptD.0.sAtt.W1     |     12     |
|     sptD.0.sAtt.W2     |     12     |
|     sptD.0.sAtt.W3     |     1      |
|   sptD.0.gcn.weight    |    1152    |
|    sptD.0.gcn.bias     |     32     |
| sptD.0.timeConv.weight |     3      |
|  sptD.0.timeConv.bias  |     1      |
|     sptD.2.sAtt.Vs     |    729     |
|     sptD.2.sAtt.bs     |    729     |
|     sptD.2.sAtt.W1     |     32     |
|     sptD.2.sAtt.W2     |     32     |
|     sptD.2.sAtt.W3     |     1      |
|   sptD.2.gcn.weight    |   24576    |
|    sptD.2.gcn.bias     |    256     |
| sptD.2.timeConv.weight |     3      |
|  sptD.2.timeConv.bias  |     1      |
|     sptD.4.weight      |    3072    |
|      sptD.4.bias       |     12     |
|     sptW.0.sAtt.Vs     |    729     |
|     sptW.0.sAtt.bs     |    729     |
|     sptW.0.sAtt.W1     |     24     |
|     sptW.0.sAtt.W2     |     24     |
|     sptW.0.sAtt.W3     |     1      |
|   sptW.0.gcn.weight    |    2304    |
|    sptW.0.gcn.bias     |     32     |
| sptW.0.timeConv.weight |     3      |
|  sptW.0.timeConv.bias  |     1      |
|     sptW.2.sAtt.Vs     |    729     |
|     sptW.2.sAtt.bs     |    729     |
|     sptW.2.sAtt.W1     |     32     |
|     sptW.2.sAtt.W2     |     32     |
|     sptW.2.sAtt.W3     |     1      |
|   sptW.2.gcn.weight    |   24576    |
|    sptW.2.gcn.bias     |    256     |
| sptW.2.timeConv.weight |     3      |
|  sptW.2.timeConv.bias  |     1      |
|     sptW.4.weight      |    3072    |
|      sptW.4.bias       |     12     |
|       Fusion.Wh        |     12     |
|       Fusion.Wd        |     12     |
|       Fusion.Ww        |     12     |
+------------------------+------------+
Total Trainable Params: 98730
 Trial: 0 Epoch: 0, train_loss: 108917.75390625, validation_loss = 9993.1728515625
 Trial: 0 Epoch: 35, train_loss: 9312.07177734375, validation_loss = 5235.47607421875
 Trial: 0 Epoch: 36, train_loss: 9879.1337890625, validation_loss = 3927.4140625
 Trial: 0 Epoch: 37, train_loss: 9562.9697265625, validation_loss = 3843.6005859375
 Trial: 0 Epoch: 38, train_loss: 9757.29345703125, validation_loss = 4917.04638671875
 Trial: 0 Epoch: 39, train_loss: 9336.9736328125, validation_loss = 3936.169921875
 Trial: 0 Epoch: 40, train_loss: 8946.04443359375, validation_loss = 4780.83544921875
 Trial: 0 Epoch: 41, train_loss: 9411.25634765625, validation_loss = 4390.2021484375
 Trial: 0 Epoch: 42, train_loss: 9697.5224609375, validation_loss = 4364.90869140625
 Trial: 0 Epoch: 43, train_loss: 9145.06298828125, validation_loss = 4388.14990234375
 Trial: 0 Epoch: 44, train_loss: 8464.296875, validation_loss = 4380.44140625
 Trial: 0 Epoch: 45, train_loss: 8991.08544921875, validation_loss = 5303.87451171875
 Trial: 0 Epoch: 46, train_loss: 8747.762939453125, validation_loss = 3924.5634765625
 Trial: 0 Epoch: 47, train_loss: 8618.49951171875, validation_loss = 3829.236572265625
 Trial: 0 Epoch: 48, train_loss: 8635.6435546875, validation_loss = 5249.306640625
 Trial: 0 Epoch: 49, train_loss: 8614.8251953125, validation_loss = 3885.573486328125
 Trial: 0 Epoch: 50, train_loss: 9183.269287109375, validation_loss = 4658.58935546875
 Trial: 0 Epoch: 51, train_loss: 9108.37646484375, validation_loss = 4150.10498046875
 Trial: 0 Epoch: 52, train_loss: 9747.017578125, validation_loss = 3650.626220703125
 Trial: 0 Epoch: 53, train_loss: 11074.9990234375, validation_loss = 3595.248291015625
 Trial: 0 Epoch: 54, train_loss: 9352.22802734375, validation_loss = 3977.08544921875
 Trial: 0 Epoch: 55, train_loss: 8686.5498046875, validation_loss = 7706.8125
 Trial: 0 Epoch: 56, train_loss: 10415.58447265625, validation_loss = 4234.5908203125
 Trial: 0 Epoch: 57, train_loss: 10102.1298828125, validation_loss = 4156.681640625
 Trial: 0 Epoch: 58, train_loss: 8518.4697265625, validation_loss = 4350.97314453125
 Trial: 0 Epoch: 59, train_loss: 8272.9541015625, validation_loss = 4249.69921875
 Trial: 0 Epoch: 60, train_loss: 8891.32275390625, validation_loss = 5098.1220703125
 Trial: 0 Epoch: 61, train_loss: 8330.74072265625, validation_loss = 4182.37060546875
 Trial: 0 Epoch: 62, train_loss: 7632.884765625, validation_loss = 3915.976318359375
 Trial: 0 Epoch: 63, train_loss: 7657.361328125, validation_loss = 4064.9560546875
 Trial: 0 Epoch: 64, train_loss: 7646.40234375, validation_loss = 4118.37451171875
 Trial: 0 Epoch: 65, train_loss: 7606.235107421875, validation_loss = 4395.404296875
 Trial: 0 Epoch: 66, train_loss: 7444.19775390625, validation_loss = 3384.31591796875
 Trial: 0 Epoch: 67, train_loss: 8188.632568359375, validation_loss = 3944.921875
 Trial: 0 Epoch: 68, train_loss: 7728.974853515625, validation_loss = 4014.084716796875
 Trial: 0 Epoch: 69, train_loss: 7669.136962890625, validation_loss = 4119.4130859375
 Trial: 0 Epoch: 70, train_loss: 8155.311767578125, validation_loss = 3643.3974609375
 Trial: 0 Epoch: 71, train_loss: 7214.97705078125, validation_loss = 3740.6962890625
 Trial: 0 Epoch: 72, train_loss: 7654.68359375, validation_loss = 3531.56591796875
 Trial: 0 Epoch: 73, train_loss: 6855.163330078125, validation_loss = 3641.891845703125
 Trial: 0 Epoch: 74, train_loss: 7432.5615234375, validation_loss = 4097.73193359375
 Trial: 0 Epoch: 75, train_loss: 6840.9326171875, validation_loss = 3883.583251953125
 Trial: 0 Epoch: 76, train_loss: 7400.23583984375, validation_loss = 3892.306884765625
 Trial: 0 Epoch: 77, train_loss: 6717.074462890625, validation_loss = 3763.12939453125
 Trial: 0 Epoch: 78, train_loss: 7581.3974609375, validation_loss = 3817.261474609375
 Trial: 0 Epoch: 79, train_loss: 6728.39794921875, validation_loss = 3883.123779296875
 Trial: 0 Epoch: 80, train_loss: 6857.14013671875, validation_loss = 3739.112548828125
 Trial: 0 Epoch: 81, train_loss: 7227.65087890625, validation_loss = 3761.574951171875
 Trial: 0 Epoch: 82, train_loss: 6745.0673828125, validation_loss = 3070.0009765625
 Trial: 0 Epoch: 83, train_loss: 7828.3525390625, validation_loss = 4540.30322265625
 Trial: 0 Epoch: 84, train_loss: 7457.635009765625, validation_loss = 3600.850830078125
 Trial: 0 Epoch: 85, train_loss: 8265.32861328125, validation_loss = 4618.97216796875
 Trial: 0 Epoch: 86, train_loss: 7459.08642578125, validation_loss = 3521.652587890625
 Trial: 0 Epoch: 87, train_loss: 8257.67626953125, validation_loss = 3427.80029296875
 Trial: 0 Epoch: 88, train_loss: 7757.0888671875, validation_loss = 3297.226318359375
 Trial: 0 Epoch: 89, train_loss: 8412.46142578125, validation_loss = 3824.8203125
 Trial: 0 Epoch: 90, train_loss: 7903.3447265625, validation_loss = 4136.70068359375
 Trial: 0 Epoch: 91, train_loss: 7020.848876953125, validation_loss = 3381.46435546875
 Trial: 0 Epoch: 92, train_loss: 7215.430419921875, validation_loss = 4056.59814453125
 Trial: 0 Epoch: 93, train_loss: 6986.851806640625, validation_loss = 3622.303466796875
 Trial: 0 Epoch: 94, train_loss: 7479.100341796875, validation_loss = 4593.15771484375
 Trial: 0 Epoch: 95, train_loss: 7398.026123046875, validation_loss = 3662.13330078125
 Trial: 0 Epoch: 96, train_loss: 7016.845703125, validation_loss = 3153.697265625
 Trial: 0 Epoch: 97, train_loss: 7172.8681640625, validation_loss = 3686.219482421875
 Trial: 0 Epoch: 98, train_loss: 6488.5556640625, validation_loss = 3757.710693359375
 Trial: 0 Epoch: 99, train_loss: 7099.88427734375, validation_loss = 3620.0419921875
========Trial 1 params: {'n_layers': 2, 'K': 4, 'Dropout': 0.4, 'Hidden0': 8, 'Hidden1': 64, 'optimizer': 'Adam', 'lr': 0.006334845354090511, 'batch': 32}===========
+------------------------+------------+
|        Modules         | Parameters |
+------------------------+------------+
|     sptH.0.sAtt.Vs     |    729     |
|     sptH.0.sAtt.bs     |    729     |
|     sptH.0.sAtt.W1     |     24     |
|     sptH.0.sAtt.W2     |     24     |
|     sptH.0.sAtt.W3     |     1      |
|   sptH.0.gcn.weight    |    768     |
|    sptH.0.gcn.bias     |     8      |
| sptH.0.timeConv.weight |     3      |
|  sptH.0.timeConv.bias  |     1      |
|     sptH.2.sAtt.Vs     |    729     |
|     sptH.2.sAtt.bs     |    729     |
|     sptH.2.sAtt.W1     |     8      |
|     sptH.2.sAtt.W2     |     8      |
|     sptH.2.sAtt.W3     |     1      |
|   sptH.2.gcn.weight    |    2048    |
|    sptH.2.gcn.bias     |     64     |
| sptH.2.timeConv.weight |     3      |
|  sptH.2.timeConv.bias  |     1      |
|     sptH.4.weight      |    768     |
|      sptH.4.bias       |     12     |
|     sptD.0.sAtt.Vs     |    729     |
|     sptD.0.sAtt.bs     |    729     |
|     sptD.0.sAtt.W1     |     12     |
|     sptD.0.sAtt.W2     |     12     |
|     sptD.0.sAtt.W3     |     1      |
|   sptD.0.gcn.weight    |    384     |
|    sptD.0.gcn.bias     |     8      |
| sptD.0.timeConv.weight |     3      |
|  sptD.0.timeConv.bias  |     1      |
|     sptD.2.sAtt.Vs     |    729     |
|     sptD.2.sAtt.bs     |    729     |
|     sptD.2.sAtt.W1     |     8      |
|     sptD.2.sAtt.W2     |     8      |
|     sptD.2.sAtt.W3     |     1      |
|   sptD.2.gcn.weight    |    2048    |
|    sptD.2.gcn.bias     |     64     |
| sptD.2.timeConv.weight |     3      |
|  sptD.2.timeConv.bias  |     1      |
|     sptD.4.weight      |    768     |
|      sptD.4.bias       |     12     |
|     sptW.0.sAtt.Vs     |    729     |
|     sptW.0.sAtt.bs     |    729     |
|     sptW.0.sAtt.W1     |     24     |
|     sptW.0.sAtt.W2     |     24     |
|     sptW.0.sAtt.W3     |     1      |
|   sptW.0.gcn.weight    |    768     |
|    sptW.0.gcn.bias     |     8      |
| sptW.0.timeConv.weight |     3      |
|  sptW.0.timeConv.bias  |     1      |
|     sptW.2.sAtt.Vs     |    729     |
|     sptW.2.sAtt.bs     |    729     |
|     sptW.2.sAtt.W1     |     8      |
|     sptW.2.sAtt.W2     |     8      |
|     sptW.2.sAtt.W3     |     1      |
|   sptW.2.gcn.weight    |    2048    |
|    sptW.2.gcn.bias     |     64     |
| sptW.2.timeConv.weight |     3      |
|  sptW.2.timeConv.bias  |     1      |
|     sptW.4.weight      |    768     |
|      sptW.4.bias       |     12     |
|       Fusion.Wh        |     12     |
|       Fusion.Wd        |     12     |
|       Fusion.Ww        |     12     |
+------------------------+------------+
Total Trainable Params: 19602
 Trial: 1 Epoch: 0, train_loss: 115100.43359375, validation_loss = 24595.39453125
 Trial: 1 Epoch: 1, train_loss: 65289.0234375, validation_loss = 25010.94921875
 Trial: 1 Epoch: 2, train_loss: 56723.400390625, validation_loss = 22102.875
 Trial: 1 Epoch: 3, train_loss: 40132.5732421875, validation_loss = 11993.091796875
 Trial: 1 Epoch: 4, train_loss: 31676.763671875, validation_loss = 11864.275390625
 Trial: 1 Epoch: 5, train_loss: 33311.0517578125, validation_loss = 13194.39453125
 Trial: 1 Epoch: 6, train_loss: 34421.076171875, validation_loss = 11259.04296875
 Trial: 1 Epoch: 7, train_loss: 30713.2744140625, validation_loss = 13474.81640625
 Trial: 1 Epoch: 8, train_loss: 25313.3408203125, validation_loss = 11384.50390625
 Trial: 1 Epoch: 9, train_loss: 24503.337890625, validation_loss = 10767.3681640625
 Trial: 1 Epoch: 10, train_loss: 20843.6484375, validation_loss = 8186.99560546875
 Trial: 1 Epoch: 11, train_loss: 20485.478515625, validation_loss = 8628.4072265625
 Trial: 1 Epoch: 12, train_loss: 19234.62548828125, validation_loss = 8723.3974609375
 Trial: 1 Epoch: 13, train_loss: 19912.759765625, validation_loss = 9167.2177734375
 Trial: 1 Epoch: 14, train_loss: 17435.568359375, validation_loss = 9226.0615234375
 Trial: 1 Epoch: 15, train_loss: 16519.61279296875, validation_loss = 7109.18310546875
 Trial: 1 Epoch: 16, train_loss: 16518.48291015625, validation_loss = 6805.6748046875
 Trial: 1 Epoch: 17, train_loss: 16925.013671875, validation_loss = 6695.5517578125
 Trial: 1 Epoch: 18, train_loss: 14901.85693359375, validation_loss = 7458.044921875
 Trial: 1 Epoch: 19, train_loss: 15579.39892578125, validation_loss = 6845.6728515625
 Trial: 1 Epoch: 20, train_loss: 14768.80419921875, validation_loss = 6586.9677734375
 Trial: 1 Epoch: 21, train_loss: 14595.8701171875, validation_loss = 5816.232421875
 Trial: 1 Epoch: 22, train_loss: 14739.5546875, validation_loss = 6636.83740234375
 Trial: 1 Epoch: 23, train_loss: 13799.23779296875, validation_loss = 5418.11279296875
 Trial: 1 Epoch: 24, train_loss: 14230.68896484375, validation_loss = 6050.5986328125
 Trial: 1 Epoch: 25, train_loss: 13341.8916015625, validation_loss = 6760.6650390625
 Trial: 1 Epoch: 26, train_loss: 13111.84326171875, validation_loss = 6301.0576171875
 Trial: 1 Epoch: 27, train_loss: 13006.015625, validation_loss = 5285.64404296875
 Trial: 1 Epoch: 28, train_loss: 14322.69140625, validation_loss = 7853.10888671875
 Trial: 1 Epoch: 29, train_loss: 13627.1806640625, validation_loss = 6559.9501953125
 Trial: 1 Epoch: 30, train_loss: 12844.80859375, validation_loss = 6086.443359375
 Trial: 1 Epoch: 31, train_loss: 13470.3935546875, validation_loss = 6438.17919921875
 Trial: 1 Epoch: 32, train_loss: 13466.60400390625, validation_loss = 6135.44921875
 Trial: 1 Epoch: 33, train_loss: 13737.18359375, validation_loss = 6430.75634765625
 Trial: 1 Epoch: 34, train_loss: 11783.7568359375, validation_loss = 5584.37841796875
 Trial: 1 Epoch: 35, train_loss: 12714.24462890625, validation_loss = 5942.80810546875
 Trial: 1 Epoch: 36, train_loss: 12109.5791015625, validation_loss = 6169.4833984375
 Trial: 1 Epoch: 37, train_loss: 12171.326171875, validation_loss = 5621.14453125
 Trial: 1 Epoch: 38, train_loss: 11246.7919921875, validation_loss = 5674.2900390625
 Trial: 1 Epoch: 39, train_loss: 11281.0078125, validation_loss = 6662.529296875
 Trial: 1 Epoch: 40, train_loss: 11862.283203125, validation_loss = 6242.0087890625
 Trial: 1 Epoch: 41, train_loss: 12166.15576171875, validation_loss = 5883.251953125
 Trial: 1 Epoch: 42, train_loss: 11458.54150390625, validation_loss = 5540.5
 Trial: 1 Epoch: 43, train_loss: 11987.421875, validation_loss = 5288.2724609375
 Trial: 1 Epoch: 44, train_loss: 11609.361328125, validation_loss = 6611.64404296875
 Trial: 1 Epoch: 45, train_loss: 11301.212890625, validation_loss = 5048.81982421875
 Trial: 1 Epoch: 46, train_loss: 11329.431640625, validation_loss = 4913.5361328125
 Trial: 1 Epoch: 47, train_loss: 10589.2275390625, validation_loss = 5467.76123046875
 Trial: 1 Epoch: 48, train_loss: 11781.8671875, validation_loss = 4716.18408203125
 Trial: 1 Epoch: 49, train_loss: 11495.3212890625, validation_loss = 4640.619140625
 Trial: 1 Epoch: 50, train_loss: 11338.77001953125, validation_loss = 6177.3740234375
 Trial: 1 Epoch: 51, train_loss: 11127.78515625, validation_loss = 5531.9267578125
 Trial: 1 Epoch: 52, train_loss: 12226.4658203125, validation_loss = 5278.26953125
 Trial: 1 Epoch: 53, train_loss: 10147.00244140625, validation_loss = 5548.15625
 Trial: 1 Epoch: 54, train_loss: 11818.79736328125, validation_loss = 4948.18212890625
 Trial: 1 Epoch: 55, train_loss: 13410.5751953125, validation_loss = 5555.79296875
 Trial: 1 Epoch: 56, train_loss: 11364.8798828125, validation_loss = 6741.248046875
 Trial: 1 Epoch: 57, train_loss: 11412.9736328125, validation_loss = 5756.26708984375
 Trial: 1 Epoch: 58, train_loss: 11128.81396484375, validation_loss = 5352.13623046875
 Trial: 1 Epoch: 59, train_loss: 10664.3173828125, validation_loss = 5702.34033203125
 Trial: 1 Epoch: 60, train_loss: 10330.1962890625, validation_loss = 4219.14697265625
 Trial: 1 Epoch: 61, train_loss: 11065.05712890625, validation_loss = 5850.21044921875
 Trial: 1 Epoch: 62, train_loss: 10395.9169921875, validation_loss = 4493.77880859375
 Trial: 1 Epoch: 63, train_loss: 10316.623046875, validation_loss = 4660.2734375
 Trial: 1 Epoch: 64, train_loss: 9911.3447265625, validation_loss = 6216.99755859375
 Trial: 1 Epoch: 65, train_loss: 10127.08984375, validation_loss = 5073.8447265625
 Trial: 1 Epoch: 66, train_loss: 9821.80224609375, validation_loss = 4950.14453125
 Trial: 1 Epoch: 67, train_loss: 10310.40771484375, validation_loss = 4981.9638671875
 Trial: 1 Epoch: 68, train_loss: 10399.5556640625, validation_loss = 4698.98974609375
 Trial: 1 Epoch: 69, train_loss: 10087.646484375, validation_loss = 5520.9638671875
 Trial: 1 Epoch: 70, train_loss: 10773.96923828125, validation_loss = 5089.8388671875
 Trial: 1 Epoch: 71, train_loss: 9246.173828125, validation_loss = 4870.53271484375
 Trial: 1 Epoch: 72, train_loss: 9222.052734375, validation_loss = 5512.20361328125
 Trial: 1 Epoch: 73, train_loss: 9189.234130859375, validation_loss = 4684.806640625
 Trial: 1 Epoch: 74, train_loss: 10467.40625, validation_loss = 5299.22607421875
 Trial: 1 Epoch: 75, train_loss: 9403.02783203125, validation_loss = 5132.8671875
 Trial: 1 Epoch: 76, train_loss: 8928.1298828125, validation_loss = 4706.73779296875
 Trial: 1 Epoch: 77, train_loss: 9925.36669921875, validation_loss = 5370.62548828125
 Trial: 1 Epoch: 78, train_loss: 9820.5595703125, validation_loss = 4696.49658203125
 Trial: 1 Epoch: 79, train_loss: 9432.380859375, validation_loss = 4753.4853515625
 Trial: 1 Epoch: 80, train_loss: 9512.837890625, validation_loss = 4522.50390625
 Trial: 1 Epoch: 81, train_loss: 9619.4736328125, validation_loss = 4131.4599609375
 Trial: 1 Epoch: 82, train_loss: 9588.52099609375, validation_loss = 4588.134765625
 Trial: 1 Epoch: 83, train_loss: 9397.333740234375, validation_loss = 4825.48193359375
 Trial: 1 Epoch: 84, train_loss: 8935.1943359375, validation_loss = 4722.8662109375
 Trial: 1 Epoch: 85, train_loss: 8778.523681640625, validation_loss = 3953.275146484375
 Trial: 1 Epoch: 86, train_loss: 9317.7900390625, validation_loss = 4344.73974609375
 Trial: 1 Epoch: 87, train_loss: 9042.947265625, validation_loss = 4710.611328125
 Trial: 1 Epoch: 88, train_loss: 9396.1259765625, validation_loss = 4601.76220703125
 Trial: 1 Epoch: 89, train_loss: 9361.75146484375, validation_loss = 5153.54052734375
 Trial: 1 Epoch: 90, train_loss: 9441.4755859375, validation_loss = 4626.025390625
 Trial: 1 Epoch: 91, train_loss: 9227.958740234375, validation_loss = 5339.328125
 Trial: 1 Epoch: 92, train_loss: 9056.2822265625, validation_loss = 4201.84130859375
 Trial: 1 Epoch: 93, train_loss: 8709.41064453125, validation_loss = 4054.203125
 Trial: 1 Epoch: 94, train_loss: 8997.83203125, validation_loss = 4888.0244140625
 Trial: 1 Epoch: 95, train_loss: 10312.30859375, validation_loss = 4895.12646484375
 Trial: 1 Epoch: 96, train_loss: 9212.44189453125, validation_loss = 4421.330078125
 Trial: 1 Epoch: 97, train_loss: 9048.412109375, validation_loss = 4062.227294921875
 Trial: 1 Epoch: 98, train_loss: 9680.76220703125, validation_loss = 4982.91552734375
 Trial: 1 Epoch: 99, train_loss: 9951.816650390625, validation_loss = 4756.44580078125
========Trial 2 params: {'n_layers': 2, 'K': 4, 'Dropout': 0.1, 'Hidden0': 32, 'Hidden1': 16, 'optimizer': 'Adam', 'lr': 0.001169685342754271, 'batch': 4}===========
+------------------------+------------+
|        Modules         | Parameters |
+------------------------+------------+
|     sptH.0.sAtt.Vs     |    729     |
|     sptH.0.sAtt.bs     |    729     |
|     sptH.0.sAtt.W1     |     24     |
|     sptH.0.sAtt.W2     |     24     |
|     sptH.0.sAtt.W3     |     1      |
|   sptH.0.gcn.weight    |    3072    |
|    sptH.0.gcn.bias     |     32     |
| sptH.0.timeConv.weight |     3      |
|  sptH.0.timeConv.bias  |     1      |
|     sptH.2.sAtt.Vs     |    729     |
|     sptH.2.sAtt.bs     |    729     |
|     sptH.2.sAtt.W1     |     32     |
|     sptH.2.sAtt.W2     |     32     |
|     sptH.2.sAtt.W3     |     1      |
|   sptH.2.gcn.weight    |    2048    |
|    sptH.2.gcn.bias     |     16     |
| sptH.2.timeConv.weight |     3      |
|  sptH.2.timeConv.bias  |     1      |
|     sptH.4.weight      |    192     |
|      sptH.4.bias       |     12     |
|     sptD.0.sAtt.Vs     |    729     |
|     sptD.0.sAtt.bs     |    729     |
